,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS,
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,
,203,American,Pat,16-14,-2.88,101.1,104,68.7,-0.033,-6.03,100.2,106.2,-3,274
,204,Illinois Chicago,Horz,18-17,-3.14,96.4,99.5,69.5,-0.004,-4.74,100.1,104.9,-0.51,193
,205,Dartmouth,Ivy,12-17,-3.18,96.7,99.9,65.8,-0.081,-1.62,101.1,102.7,-2.54,256
,206,Arkansas St.,SB,16-16,-3.29,104.2,107.5,67.3,0.042,-0.47,102.4,102.8,-0.17,183
,207,Robert Morris 16*,NEC,20-14,-3.29,100.5,103.8,66.1,0.027,-6.38,99.7,106.1,1.65,118
,208,Hawaii,BW,17-13,-3.34,97.6,101,68.4,0.029,-4.49,100.9,105.4,-3.06,275
,209,Loyola Marymount,WCC,11-21,-3.42,100.6,104,63,-0.022,3.4,105,101.6,-2.23,249
,210,UTSA,CUSA,13-19,-3.84,104.2,108,72.8,-0.047,0.33,101.6,101.3,1.42,128
,211,UC Riverside,BW,17-15,-3.97,95.8,99.8,63.2,-0.029,-4.74,100.5,105.2,-3.9,297
,212,Sam Houston St.,Slnd,18-13,-4.13,99.5,103.7,71.1,-0.028,-5.71,100.1,105.9,4.54,47
,213,Prairie View A&M 16**,SWAC,19-13,-4.16,96.3,100.5,70.7,-0.001,-7.97,96.3,104.3,9.36,11
,214,Seattle,WAC,14-15,-4.34,101.2,105.5,69.9,-0.051,-4.72,100.1,104.8,-2.76,267
,215,Northern Arizona,BSky,16-14,-4.35,102.3,106.7,66.6,0.071,-2,101.9,103.9,0.29,172
,216,Central Michigan,MAC,14-18,-4.4,102,106.4,73.6,-0.036,0.65,102.7,102,1.94,107
,217,East Carolina,Amer,11-20,-4.42,99.6,104,70.6,-0.01,1.25,101.5,100.3,-9.14,350
,218,Gardner Webb,BSth,16-16,-4.48,102.2,106.7,66.2,-0.047,-5.61,101.1,106.7,6.08,29
,219,Nebraska Omaha,Sum,16-16,-4.5,103.2,107.7,69.2,0.077,-0.24,104,104.3,4.54,48
,220,Illinois St.,MVC,10-21,-4.55,98.4,102.9,68.5,-0.005,1.91,103.6,101.7,0.47,164
,221,Iona,MAAC,12-17,-4.56,101.6,106.1,68.7,-0.077,-5.1,98.4,103.5,0.72,155
,222,Montana St.,BSky,16-15,-4.6,97,101.6,67.3,0.056,-1.39,102.4,103.8,0.73,154
