,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,167,,ASun,23-10,0.43,103.2,102.8,74.9,0.112,-4.31,103.2,107.5,5.84
,,168,,MAC,21-15,0.13,110.1,109.9,67.6,-0.022,-3.15,103.4,106.5,-9.32
,,169,,CAA,19-12,0.09,115.3,115.2,70,0.098,-0.75,105.5,106.3,3.56
,,170,,BSth,23-13,0.07,102.9,102.9,63,0.063,-4.03,102.8,106.9,3.49
,,171,,Amer,14-17,0.04,106.9,106.9,69,-0.018,0.76,104.6,103.9,-6.27
,,172,,A10,14-17,0.02,108.4,108.3,66.3,-0.004,1.36,105.6,104.2,1.38
,,173,,MAC,19-13,-0.08,103.3,103.3,69.9,0.06,-2.07,104.7,106.7,-1.46
,,174,,CUSA,20-15,-0.09,104.7,104.7,71.8,0.038,-1.04,103.9,104.9,1.32
,,175,,Horz,19-14,-0.23,107.4,107.7,70.3,0.011,-4.41,102.5,106.9,1.24
,,176,,Sum,15-17,-0.37,105,105.4,66.5,-0.078,-0.09,106.3,106.4,1.58
,,177,,SB,16-17,-0.37,106.2,106.5,68.3,-0.065,-1.18,103.7,104.8,0.04
,,178,,WCC,14-18,-0.43,106.6,107,66.3,-0.016,1.28,105.8,104.6,1.84
,,179,,Amer,14-18,-0.43,105,105.4,67,0.075,5.89,107.7,101.8,4.87
,,180,,NEC,23-10,-0.6,103,103.6,67.6,0.07,-8.35,101.2,109.5,-0.09
,,181,,A10,12-20,-0.78,107.4,108.1,67.9,-0.022,2.75,106.6,103.8,5.44
,,182,,Horz,20-16,-0.84,100.9,101.8,72.5,-0.01,-4.11,102.7,106.8,-1.48
,,183,,MAAC,11-20,-1.21,103.5,104.7,70,-0.112,-0.86,104.8,105.7,5.06
,,184,,BSth,22-15,-1.22,103.9,105.2,63.1,-0.052,-6.7,101.7,108.4,-5.44
,,185,,Slnd,21-11,-1.56,103.3,104.9,73.5,0.037,-5.69,101.9,107.6,4.11
,,186,,P12,12-19,-1.66,108.4,110,68.2,0.004,4.41,107.2,102.8,-1.75
