,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
135,Loyola Marymount,WCC,12-18,2.95,100.2,97.3,70.7,-0.044,4.05,106.2,102.2,5.29
136,Drake,MVC,12-19,2.87,107,104.2,64.4,-0.062,5.96,104.4,98.4,1.53
137,Fresno St.,WAC,15-13,2.78,105.6,102.8,69.2,0.039,2.3,103.8,101.5,1.09
138,Albany 16,AE,21-11,2.63,106.2,103.6,63.8,0.027,-5.65,99.6,105.3,0.12
139,Buffalo,MAC,19-13,2.56,106,103.4,67.3,0.03,-0.68,102.5,103.2,-1.31
140,Utah,MWC,14-15,2.47,104.8,102.4,60.2,-0.026,2.65,104.3,101.7,-2.09
141,Arizona St.,P10,11-17,2.26,104.8,102.6,64.8,-0.027,5.53,105.1,99.6,-6.99
142,Wyoming,MWC,14-18,1.85,99.1,97.3,68.3,-0.03,2.64,104.2,101.6,-3.09
143,Boise St.,WAC,14-15,1.78,101.8,100,69.8,-0.049,0.89,103.7,102.8,-3.08
144,Loyola Chicago,Horz,19-11,1.63,107.5,105.8,65.9,0.078,-0.77,103.6,104.3,-0.71
145,Long Beach St.,BW,18-12,1.54,107.6,106.1,74.1,0.027,-2.38,102.6,105,-2.24
146,Saint Peter's,MAAC,17-15,1,106.2,105.2,66.6,0.041,-0.05,105,105.1,-0.79
147,Mississippi,SEC,14-16,0.93,102.5,101.6,63.8,0.029,4.72,105.4,100.7,-9.77
148,Eastern Washington,BSky,15-15,0.73,106.7,106,65.7,-0.006,0.71,104.8,104,4.19
149,Oregon St.,P10,13-18,0.58,104.4,103.8,64.5,0.031,6.05,105.1,99.1,-5.28
150,Rhode Island,A10,14-14,0.55,104,103.4,62.3,0.043,1.71,103.3,101.6,-2.94
151,Missouri,B12,12-16,0.28,103.9,103.7,64.6,0.034,5.62,105.7,100.1,-4.98
152,San Francisco,WCC,11-17,0.28,103.5,103.2,64.1,-0.017,2.34,104.5,102.2,2.46
153,Louisiana Lafayette,SB,13-16,0.21,98.4,98.2,66.1,0.02,2.14,104,101.9,7.03
154,Baylor,B12,4-13,0.18,102.6,102.4,65.5,-0.046,11.81,108.7,96.9,-99
155,Purdue,B10,9-19,0.14,101.9,101.7,65.5,-0.009,8.25,107.5,99.3,-0.79
156,Sacramento St.,BSky,15-15,-0.01,106.7,106.7,67.9,-0.031,-0.49,104.1,104.6,0.86
157,Northern Arizona 9,BSky,21-11,-0.04,103.9,104,69.2,0.079,-2.6,103.4,106,-3.09
158,Central Connecticut,NEC,18-11,-0.07,109.6,109.6,62,-0.027,-7.66,97.5,105.2,-3.2
159,Middle Tennessee,SB,16-12,-0.22,105,105.3,64.4,0.065,-1.26,102.4,103.6,1.91
160,Santa Clara,WCC,13-16,-0.41,100.7,101.1,64.8,0.014,3.13,105,101.9,5.26
161,Georgia Southern 10,SC,20-10,-0.43,101.2,101.6,72.2,0.077,-5.88,100.5,106.4,-3.48
162,Portland St.,BSky,12-16,-0.59,102.1,102.6,65.6,-0.094,0.03,105.5,105.4,2.41
163,North Dakota St.,ind,16-12,-0.65,103.8,104.4,65,-0.066,-4.34,102,106.4,-1.65
164,Monmouth 16,NEC,19-15,-0.68,95.8,96.4,64.6,0.018,-3.55,101.2,104.7,4.12
165,Belmont 15,ASun,20-11,-0.73,107.1,107.8,69.1,0.024,-8.62,99.7,108.4,5.97
166,Cal St. Fullerton,BW,16-13,-0.77,107.3,108.1,68.2,-0.036,-4.85,100.3,105.2,-6.46
167,Coastal Carolina,BSth,20-10,-0.83,106.5,107.3,61.7,0.069,-6.48,100.4,106.8,1.56
168,Troy,SB,14-15,-0.89,105.4,106.3,64.8,-0.105,-3.23,101.1,104.3,-4.56
169,Illinois St.,MVC,9-19,-0.89,92.8,93.6,61.2,-0.095,4.49,103.8,99.3,-6.25
170,Illinois Chicago,Horz,16-15,-0.95,105.4,106.4,63.9,0.088,0.59,104.1,103.6,3.32
171,South Florida,BE,7-22,-1.01,95.7,96.7,61.6,-0.104,5.82,106.3,100.5,-4.74
172,Denver,SB,16-15,-1.03,98.5,99.6,64.1,-0.01,-2.69,102.5,105.2,-5.37
173,Fairleigh Dickinson 10,NEC,20-12,-1.05,101.5,102.5,69.1,0.037,-5.56,99.8,105.3,4.12
174,UC Santa Barbara,BW,15-14,-1.05,102.2,103.3,62,-0.016,-2.41,102.4,104.8,0.87
175,Valparaiso,MCon,17-12,-1.17,105.1,106.2,69.2,0.003,-5.77,101.7,107.4,0.04
176,Detroit,Horz,16-16,-1.29,104.2,105.5,60,0.048,1.06,104.2,103.1,4.96
177,Lipscomb 10,ASun,21-11,-1.63,100.2,101.8,64.6,0.011,-10.55,99.6,110.1,-4.2
178,IUPUI,MCon,19-10,-1.73,105.4,107.2,60.8,0.064,-5.5,101.9,107.4,2.16
179,Indiana St.,MVC,13-16,-1.77,101.1,102.9,64.7,0.101,5.35,104.4,99,-5.81
180,College of Charleston,SC,17-11,-1.95,99.6,101.5,67.9,-0.044,-7.76,100.1,107.9,-7.95
181,Niagara,MAAC,11-18,-1.99,106.4,108.4,65.2,-0.038,0.43,105.5,105,1.43
