									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
110	N.C. State	ACC	15-16	5.65	107.6	101.9	62.7	0.043	9.18	108.6	99.4	-1.93
111	South Florida	BE	12-19	5.41	107.4	102	63.4	-0.098	6.71	106.7	100	-0.93
112	Portland St. 16	BSky	23-10	5.4	108.6	103.2	66.3	0.062	-3.5	102.7	106.2	3.95
113	Illinois Chicago	Horz	18-15	5.34	104.8	99.5	65.7	-0.015	2.2	104	101.8	4.11
114	DePaul	BE	11-19	5.28	111.8	106.6	65.7	-0.031	9.36	108.6	99.3	1.3
115	LSU	SEC	13-18	5.2	104.9	99.7	65.6	-0.08	6.41	106.9	100.4	-1.03
116	Wright St.	Horz	21-10	5.04	104	98.9	59.7	0.064	0.47	104.4	103.9	0.07
117	UC Santa Barbara 7	BW	23-9	4.93	102.3	97.3	65.2	0.062	-3.76	102.4	106.1	-3.52
118	Old Dominion	CAA	18-16	4.9	106.5	101.6	63	-0.034	0.83	102.8	102	5.29
119	Valparaiso	Horz	22-14	4.7	107.9	103.2	65.7	0.049	2.15	104.3	102.1	0.35
120	San Diego 13	WCC	22-14	4.64	101.6	97	63	0.045	1.43	104.3	102.9	2.61
121	Northern Iowa	MVC	18-14	4.62	105.9	101.3	59.2	0.041	3.86	104.9	101	-3.31
122	Rider	MAAC	23-11	4.62	108.2	103.6	68.7	0.01	-3.33	101.7	105.1	-3.96
123	Cornell 14	Ivy	22-6	4.41	110.1	105.7	67.9	0.086	-6.93	99.1	106	-3.59
124	Iowa St.	B12	14-18	4.38	101.7	97.4	64.1	-0.015	8.14	107.5	99.3	-4.74
125	Colorado	B12	12-20	4.29	104.7	100.4	60.9	-0.066	8.94	107.5	98.6	-2.23
126	Boise St. 14	WAC	25-9	3.89	108.7	104.8	70.7	0.085	-2.64	103.3	105.9	-3.36
127	UMBC 15	AE	24-9	3.86	113.2	109.3	63.7	0.057	-4.31	100.7	105	2.68
128	Georgia Southern	SC	20-12	3.82	106	102.2	69	0.019	-0.34	104.1	104.4	3.83
129	Belmont 15	ASun	25-9	3.53	109.7	106.2	68.6	0.075	-5.21	100.9	106.1	0.51
130	Penn St.	B10	15-16	3.48	107.7	104.2	63.5	0.03	6.66	106.2	99.6	-4.8
131	Cal St. Northridge	BW	20-10	3.43	102.2	98.7	72.2	0.023	-3.53	102.5	106	-1.94
132	Indiana St.	MVC	15-16	3.2	105.9	102.7	64.3	0.041	6.27	106.9	100.6	2.21
133	North Texas	SB	20-11	3.11	105.9	102.8	68	-0.024	-3.74	102.8	106.6	-1.79
134	Brown	Ivy	19-10	3.07	108.9	105.8	61.1	0.042	-4.49	102.1	106.6	0.79
135	Niagara	MAAC	19-10	2.92	106.7	103.7	69.9	0.025	-2.32	102.8	105.1	0.21
136	North Dakota St.	Sum	16-13	2.88	107	104.1	67	-0.065	-2.23	103.5	105.8	1.44
137	Michigan	B10	10-22	2.7	104.4	101.7	64.1	-0.037	9.46	107.9	98.5	4.56
138	Sam Houston St.	Slnd	23-8	2.7	96.5	93.8	67.6	0.022	-5.37	99.5	104.9	-2.6
139	Marshall	CUSA	16-14	2.56	106.2	103.6	62.9	-0.007	1.62	103.6	102	-1.85
140	St. John's	BE	11-19	2.44	98.6	96.2	63.9	-0.011	8.27	108.1	99.9	-1.57
141	Appalachian St.	SC	18-13	2.41	105.8	103.4	65.3	0.003	-0.75	103.6	104.4	1.15
142	Oakland	Sum	17-14	2.39	111.7	109.3	67.1	-0.016	-0.33	104.6	104.9	6.76
143	Pacific	BW	21-10	2.36	107.1	104.7	63.7	0.046	-4.38	101.2	105.6	-3.77
144	Robert Morris 8	NEC	26-8	2.27	103.3	101.1	69	0.076	-7.01	99.5	106.5	-3.12
145	Green Bay	Horz	15-15	2.02	107.1	105.1	65.4	0.019	2.27	104.7	102.4	2.54
146	Iowa	B10	13-19	2.01	98.8	96.8	58.8	-0.023	4.88	106.3	101.4	-7.2
147	La Salle	A10	15-17	1.93	107.4	105.5	68.9	-0.004	3.33	105.6	102.3	-2.17
148	Marist	MAAC	18-14	1.92	106.3	104.4	63.3	0.018	-0.41	103.4	103.8	4
149	Auburn	SEC	14-16	1.92	109.8	107.8	65.1	0.008	3.75	105.7	101.9	-8.97
150	American 15	Pat	21-12	1.67	107.9	106.3	60.4	0.045	-4.23	99.9	104.1	-2.17
151	Richmond	A10	16-15	1.48	101.4	99.9	61.5	0.103	3.46	106.2	102.7	-2.06
152	Northern Arizona	BSky	21-11	1.43	105.6	104.2	66.2	0.048	-4.7	101.6	106.3	-0.79
153	Northeastern	CAA	14-17	1.42	103.2	101.7	61.4	-0.043	0.95	103.5	102.5	7.7
154	Wichita St.	MVC	11-20	1.41	104.3	102.8	60.5	-0.07	3.82	105.8	102	-2.09
155	Santa Clara	WCC	15-16	1.34	100.9	99.6	59.7	-0.065	-0.53	103.3	103.9	0.59
156	Air Force	MWC	16-14	1.18	100.9	99.7	56.3	-0.007	0.17	102.8	102.6	-10.09
157	Saint Louis	A10	16-15	0.95	100.9	100	58.4	0.067	4.19	106.4	102.2	-1.53
158	Chattanooga	SC	18-13	0.89	102.4	101.5	72	0.049	0.07	104.3	104.2	5.82
159	Fordham	A10	12-17	0.69	103.2	102.5	61.8	-0.029	5.01	106.6	101.6	-1.06
160	Lamar	Slnd	19-11	0.56	108.1	107.6	69.9	-0.003	-4.57	99.1	103.7	1.45
161	UC Irvine	BW	18-16	0.48	104.2	103.8	62.8	-0.028	-2.21	102.3	104.5	0.57
162	UNC Wilmington	CAA	20-13	0.35	108.2	107.9	66.5	0.06	-2.79	101.4	104.2	-5.62
163	Loyola MD	MAAC	19-14	0.08	108.1	108	64.7	0.052	-3.03	101.9	104.9	-3.35
164	Tulane	CUSA	17-15	-0.13	102.1	102.2	63.5	0.074	1.68	104.3	102.6	-1.87
165	Middle Tennessee	SB	17-15	-0.16	104.9	105.1	62.1	0.065	-0.54	104.6	105.1	3.67
166	College of Charleston	SC	16-17	-0.21	106.7	106.9	65.8	-0.024	-1.06	103.9	104.9	3.37
167	Milwaukee	Horz	14-16	-0.26	100.7	100.9	67	0.035	2.19	104.3	102.2	4.1
168	Austin Peay 15	OVC	24-11	-0.3	104.6	104.9	65.5	0.086	-6.35	102.5	108.8	5.19
169	Morgan St. 8	MEAC	22-11	-1.01	100	101	64.7	0.015	-9.48	98.3	107.7	1.01
170	Holy Cross	Pat	15-14	-1.03	101.3	102.3	59.6	-0.014	-2.88	101.5	104.4	-0.82
171	George Washington	A10	9-17	-1.1	100.9	102	63.4	-0.057	5.51	107.4	101.9	-0.23
172	UNC Asheville 8	BSth	23-10	-1.21	107.2	108.4	64.4	0.1	-5.78	101.1	106.9	-1.34
173	Mount St. Mary's 16	NEC	19-15	-1.32	99.3	100.6	66.1	0.014	-5.35	101.6	106.9	-0.05
174	East Tennessee St.	ASun	19-13	-1.38	103.9	105.3	71.3	0.066	-3.07	102	105.1	3.82
175	Vermont	AE	16-15	-1.73	101	102.7	68.8	-0.055	-5.82	101.4	107.2	-3.43
