,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
217,Bowling Green,MAC,13-18,-6.18,99.6,105.8,67.6,0.028,-1.39,103.3,104.7,-7.09
218,Murray St.,OVC,16-14,-6.31,98.4,104.7,64.9,0.052,-6.27,101.7,108,11.85
219,Liberty,BSth,14-17,-6.34,102.1,108.4,68.3,-0.054,-5.87,101.9,107.7,-1.91
220,Pepperdine,WCC,8-23,-6.57,105,111.6,72.4,-0.024,1.04,104.8,103.8,0.99
221,Samford,OVC,16-16,-6.62,106.2,112.8,54.5,0.043,-4.58,102,106.6,9.75
222,Binghamton,AE,13-16,-6.74,98.7,105.4,66.7,-0.047,-7.91,99.7,107.6,-9.55
223,Duquesne,A10,10-19,-6.78,107.7,114.5,73.3,0.029,0.15,106,105.8,0.53
224,Eastern Michigan,MAC,13-19,-6.85,98,104.8,65.7,0.065,-0.82,103.5,104.3,-1.96
225,UNC Wilmington,CAA,7-22,-6.96,99.5,106.5,65.6,-0.044,2.16,105.9,103.7,4.7
226,Florida Atlantic,SB,16-15,-7.11,104.9,112,69.4,0.095,-4.68,103.1,107.8,1.18
227,Brown,Ivy,11-18,-7.19,98.5,105.7,62.1,-0.024,-3.9,102.3,106.2,-1.8
228,Troy,SB,13-17,-7.26,105.7,113,67.2,0.018,-4.17,103.4,107.6,1.35
229,Southeastern Louisiana,Slnd,16-14,-7.27,102.1,109.4,63.1,0.078,-4.82,102.1,106.9,-1.02
230,Northern Illinois,MAC,7-23,-7.32,102.2,109.5,65.7,-0.083,0.17,104.3,104.2,-0.1
231,New Orleans,SB,14-17,-7.33,107.8,115.1,64.1,0.004,-5.28,102.3,107.5,2.65
232,Cleveland St.,Horz,10-21,-7.45,99.8,107.2,63.4,-0.023,3.13,106.6,103.5,3.25
233,San Jose St.,WAC,5-25,-7.57,95,102.5,65.8,-0.018,4.78,106.9,102.1,7.42
234,Cal St. Northridge,BW,14-17,-7.74,97.6,105.3,71.3,0.017,-4.01,103.1,107.1,-4.81
235,Coastal Carolina,BSth,15-15,-7.88,102.5,110.4,66.4,-0.031,-7.22,100.1,107.3,-5.68
236,La Salle,A10,10-20,-8.07,104.5,112.5,66.9,-0.077,-4.21,103,107.2,-11.8
237,VMI,BSth,14-19,-8.16,106.4,114.6,89.7,-0.079,-7.56,100.4,108,-10.06
238,Western Carolina,SC,11-20,-8.33,101.6,109.9,67.5,0.005,0.91,104.6,103.7,9.56
239,Hartford,AE,13-18,-8.35,98.3,106.7,63.8,0.024,-5.01,101,106,-2.06
240,Mount St. Mary's,NEC,11-20,-8.52,95.6,104.1,64.5,-0.041,-5.78,102.8,108.6,1.85
