,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,164,Wyoming,MWC,14-11,0.17,109.1,109,69,0.046,1.3,102.4,101.1,-11.7
,165,Princeton,Ivy,0-0,0.03,104,103.9,66.6,0,-99,0,200,-99
,166,Navy,Pat,15-3,0.02,103.7,103.7,65.9,0.179,-5.28,98.2,103.5,7.37
,167,Bellarmine,ASun,14-8,-0.02,108.3,108.3,65.1,-0.015,-3.95,100.1,104,7.14
,168,Northeastern,CAA,10-9,-0.1,98.5,98.6,67,0.056,3.03,105.2,102.2,15.12
,169,Cleveland St. 15,Horz,19-8,-0.13,100.6,100.7,66.1,0.199,-0.83,105.1,106,20.35
,170,South Florida,Amer,9-13,-0.14,100.8,101,66.8,0.049,10.01,106.1,96.1,2.23
,171,Iowa St.,B12,2-22,-0.14,100.3,100.4,69.9,-0.12,17.29,111.6,94.3,4.15
,172,UMBC,AE,14-6,-0.15,100.6,100.8,67.5,-0.013,-4.6,98.8,103.4,-3.4
,173,Murray St.,OVC,13-13,-0.17,103.3,103.5,66.2,-0.177,-5.03,99.6,104.7,-3.47
,174,Eastern Kentucky,OVC,22-7,-0.56,101,101.5,74.8,0.085,-5.34,99.8,105.2,-7.97
,175,Wake Forest,ACC,6-16,-0.64,101.3,101.9,67,-0.109,13.51,110.4,96.9,-17.91
,176,UNLV,MWC,12-15,-0.66,103.7,104.4,66.1,-0.037,5.3,104.3,99,13.13
,177,James Madison,CAA,13-7,-0.69,103.5,104.2,71.8,-0.048,-1.91,101.1,103,-0.26
,178,Iona 15,MAAC,12-6,-0.78,100.2,101,67.7,0.03,-5.67,98.3,103.9,-0.54
,179,Coastal Carolina,SB,18-8,-0.86,99.3,100.2,71.1,-0.02,-5.02,99.8,104.8,-13.04
,180,Sam Houston St.,Slnd,19-9,-1.06,101.3,102.3,70.9,0.092,-2.65,100.4,103.1,15.53
,181,Florida Atlantic,CUSA,13-10,-1.14,101.9,103.1,68.1,-0.098,-1.5,101.2,102.7,-0.22
,182,Gardner Webb,BSth,11-15,-1.18,104.5,105.6,66.7,-0.165,-3.83,100.3,104.2,12.76
,183,Texas St.,SB,18-7,-1.23,99.6,100.8,62.4,0.072,-5.94,98.6,104.6,-7.87
,184,Harvard,Ivy,0-0,-1.31,101.9,103.2,68.1,0,-99,0,200,-99
,185,Bryant,NEC,15-7,-1.5,103.2,104.7,74,-0.044,-7.65,98.2,105.9,4.63
,186,Siena,MAAC,12-5,-2.05,99.8,101.8,66.2,-0.057,-7.28,96.7,104,-99
,187,Hawaii,BW,11-10,-2.2,101.7,103.9,66.9,-0.02,0.65,101.8,101.1,-99
,188,Rice,CUSA,15-13,-2.31,103.9,106.2,69.3,0.039,2.38,102.1,99.7,-11.86
,189,Montana,BSky,15-13,-2.35,98.8,101.2,65.7,0.009,2.56,104.7,102.1,19.82
,190,Hofstra,CAA,13-10,-2.55,105.9,108.4,68.1,0.052,-1.31,101.6,102.9,5.15
,191,Fresno St.,MWC,12-12,-2.64,99.6,102.2,65.8,0.065,4.63,104.5,99.9,-99
,192,Southern Illinois,MVC,12-14,-2.89,100,102.8,66.2,0.075,4.76,104.4,99.7,-4.3
,193,Valparaiso,MVC,10-18,-2.94,96.6,99.5,67,-0.028,6.33,105.7,99.4,5.09
,194,Hartford 16,AE,15-9,-2.98,97,100,66.9,0.081,-5.09,99.2,104.3,-0.17
,195,San Diego,WCC,3-11,-3.22,97.4,100.7,70.2,-0.025,10.79,108.1,97.3,9.58
,196,Nicholls St.,Slnd,18-7,-3.35,100.4,103.7,71.6,0.121,-6.96,98.6,105.6,8.56
,197,Army,Pat,12-10,-3.47,98.1,101.6,68.4,0.034,-1.17,103.3,104.5,2.78
,198,Illinois St.,MVC,7-18,-3.62,98.7,102.3,69,-0.112,5.34,105.4,100.1,1.99
,199,Utah Valley,WAC,11-11,-3.75,100.5,104.3,70.2,0.007,0.6,103.2,102.6,12.48
,200,La Salle,A10,9-16,-3.83,101.8,105.6,68.5,-0.012,7.06,104.7,97.6,5.97
,201,Louisiana,SB,17-9,-3.89,100.3,104.2,71,0.096,-3.74,100.4,104.1,-1.65
,202,Saint Joseph's,A10,5-15,-3.98,101.2,105.1,72.1,0.027,10.62,107.8,97.2,15.47
,203,UMKC,Sum,11-13,-3.99,96.2,100.2,62.5,-0.074,1.37,104.6,103.2,11.29
,204,Evansville,MVC,9-16,-4.12,105.8,109.9,62,0.011,4,103.5,99.5,-4.4
,205,Elon,CAA,10-9,-4.14,96.7,100.9,66.5,0.014,-1.59,102.1,103.7,-4.32
,206,Northern Kentucky,Horz,14-11,-4.17,103.8,108,64.7,0.056,-2.82,102.2,105,3.87
,207,Montana St.,BSky,13-10,-4.19,99.4,103.6,68.2,0.055,-1.12,102.4,103.6,5.66
,208,Texas Southern 16,SWAC,17-9,-4.37,99.8,104.2,71.5,0.059,-7.73,95.5,103.2,14.62
,209,UC Davis,BW,10-8,-4.37,98,102.3,69.2,0.087,-1.01,101.7,102.7,-0.67
