,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
203,Richmond,A10,13-20,-3.31,107,110.3,65.9,-0.088,-2.99,101.3,104.3,-7.82
204,FIU,CUSA,20-14,-3.41,102.4,105.8,77.6,0.115,-1.01,102.1,103.1,-2.2
205,Illinois St.,MVC,17-16,-3.45,101.4,104.8,66.7,0.084,-0.6,103.1,103.7,1.02
206,Appalachian St.,SB,11-21,-3.53,106.2,109.7,71.6,-0.083,1.03,105.3,104.3,5.33
207,Washington St.,P12,11-21,-3.79,106.4,110.2,70.6,-0.059,1.63,105.3,103.7,-10.53
208,Indiana St.,MVC,15-16,-3.99,101.4,105.4,68.9,0.026,-0.04,102.7,102.7,3.1
209,Prairie View A&M,SWAC,22-13,-4.13,102.1,106.2,71.1,0.061,-7.85,98.8,106.7,6.15
210,Cal St. Fullerton,BW,16-18,-4.15,98.3,102.5,69.9,0.003,-1.7,103.6,105.3,7.12
211,Fairleigh Dickinson,NEC,21-14,-4.22,106.5,110.7,66.8,0.04,-8.16,99.5,107.7,-1.86
212,Rider,MAAC,16-15,-4.44,101.5,105.9,73.9,-0.032,-7.09,100.6,107.7,-0.18
213,Florida Gulf Coast,ASun,14-18,-4.52,101.6,106.1,67.9,-0.003,-0.94,103.5,104.5,3.72
214,South Alabama,SB,17-17,-4.52,103.1,107.7,66.3,0.012,-3.7,102.9,106.6,-8.18
215,Columbia,Ivy,10-18,-4.55,101.9,106.5,67.6,-0.06,-1.28,103.2,104.4,-3.74
216,Pacific,WCC,14-18,-4.56,100,104.6,65.1,0.045,1.38,105.9,104.5,-3.81
217,Lamar,Slnd,20-13,-4.66,103.3,107.9,68.3,0.009,-7.68,100.6,108.3,1.97
218,Dartmouth,Ivy,11-19,-4.7,103.4,108.1,65.9,-0.109,-2.04,102.7,104.7,-5.46
219,William & Mary,CAA,14-17,-4.79,103.6,108.4,68.6,0.029,-2.25,105.7,107.9,3.09
220,Valparaiso,MVC,15-18,-4.89,98.2,103.1,65.2,0.003,-2.02,102.1,104.1,-3.65
221,Cornell,Ivy,15-16,-4.99,99.9,104.9,67.9,0.074,-0.41,104,104.4,-1.38
222,Little Rock,SB,10-21,-4.99,100,105,70.4,-0.149,-1.96,104.3,106.3,-2.51
223,High Point,BSth,16-15,-5,99.7,104.7,63.7,0.019,-3.82,103.7,107.6,-2.67
224,Weber St.,BSky,18-15,-5.03,101.7,106.7,71.1,-0.022,-7.14,102,109.1,0.17
225,Long Beach St.,BW,15-19,-5.08,101.3,106.3,71.5,0.051,-0.77,104.3,105,5.59
226,Cal St. Bakersfield,WAC,18-16,-5.13,102.6,107.7,65.2,0.072,-2.04,103.5,105.5,-2.69
227,Evansville,MVC,11-21,-5.2,99.7,104.9,69.5,-0.061,-0.25,103.1,103.4,1.87
228,La Salle,A10,10-21,-5.39,100,105.4,68.9,-0.04,-0.24,103.6,103.8,0.3
229,South Dakota,Sum,13-17,-5.61,100.6,106.2,67,-0.048,-3.89,104.1,108,-0.58
230,UMBC,AE,21-13,-5.75,96.2,102,65,0.078,-7.09,100.2,107.3,-4.48
231,Boston University,Pat,15-18,-5.96,104.4,110.4,66.3,-0.025,-4.84,102.5,107.3,-4.47
232,Southeastern Louisiana,Slnd,17-16,-6.07,99.5,105.5,65.3,0.009,-7.22,100.5,107.8,1.97
233,Detroit,Horz,11-20,-6.11,106.5,112.6,68.6,-0.011,0.26,105.3,105,5.34
234,Quinnipiac,MAAC,16-15,-6.21,105.5,111.7,66.9,-0.026,-9.26,99,108.2,-7.91
235,Eastern Kentucky,OVC,13-18,-6.23,99.8,106,76.6,0.012,-1.72,103.9,105.6,0.83
236,Massachusetts,A10,11-21,-6.29,102.9,109.2,67.3,-0.061,-1.88,102.8,104.7,-4.87
237,Eastern Washington,BSky,16-18,-6.36,101.3,107.6,67.8,0.026,-4.74,103,107.8,7.19
238,UMKC,WAC,11-21,-6.45,101.1,107.6,66.3,-0.052,-0.17,105.1,105.3,1.22
239,Holy Cross,Pat,16-17,-6.81,101.2,108,63.6,0.067,-3.74,103.2,107,-2.2
240,Sacred Heart,NEC,15-17,-6.81,104.2,111,72,-0.062,-8.08,100.4,108.5,-1.76
241,California,P12,8-23,-6.84,103.5,110.3,66.6,0.037,4.76,106.7,102,-0.07
242,Army,Pat,13-19,-6.89,96.3,103.2,69.8,-0.028,-4.73,103.3,108.1,-4.89
243,Air Force,MWC,14-18,-7.06,100.6,107.7,66.6,0.03,-1.62,102.9,104.5,-4.14
